"job_id","company","job_title","job_description","responsibilities","required_skills","job_qualification","job_salary","judge_model","mean_score","score_pedagogy","score_audience","score_ai_relevance","score_responsible_ai","score_cross_sector_context","score_overall_fit","ai_pedagogy_related","confidence","rationale"
"1","CIA","AI & Innovation Specialist","The AI & Innovation Specialist is responsible for creating and executing the institution's comprehensive strategy for Artificial Intelligence (AI) in academic areas. The AI & Innovation Specialist is responsible for the lifecycle of AI integration, from pioneering faculty development programs and shaping curriculum to establishing best practices for ethical and effective implementation in the classroom. This is a key position charged with pioneering the future of AI in our academic environment.","Strategic Leadership for Academic AI: Responsible for developing a strategy for integrating AI into the academic life of the institution, with a direct focus on enhancing teaching methodologies, curriculum design, and faculty research capabilities. Drive the vision for how faculty can responsibly leverage AI, serving as the primary advisor on emerging opportunities and best practices in higher education. Continuously monitor, evaluate, and report on AI trends and tools relevant to pedagogy and academic disciplines. Provide reports on progress to the Senior Dean with findings and recommendations. Accountable for following up on any gaps. Faculty Empowerment & Program Execution: Serve as the lead subject matter expert on academic AI applications, personally architecting and executing a comprehensive support and education program for faculty. Build and foster a vibrant community of practice, moving beyond one-on-one consultation to create and deliver impactful workshops, learning resources, and knowledge-sharing forums that empower faculty to innovate confidently. Develop workshop opportunities that are directly related to how AI can be used in the Food, Beverage and Hospitality industry. Develop the best practices for instruction focused on food, beverage, and hospitality that will prepare students to thrive in a tech-enhanced industry while still embracing the heart of service. Introduce faculty to AI platforms that, for example, suggest flavor pairings, dietary adjustments, cultural fusion ideas, as well as other content related to the Culinary Institute of America curriculum. Academic Governance & Ethical Frameworks: Establish and take responsibility for guiding frameworks and best practices for the responsible, ethical, and effective use of AI in all academic and research settings. Develop and implement clear guidelines for faculty and students on the appropriate use of AI tools in coursework, including creating sample language syllabus and policies that uphold academic integrity. Pedagogical Innovation & Impact Analysis: Lead the evaluation, piloting, and recommendation of AI tools that directly support innovative teaching practices and enhance student learning outcomes. Develop and track key metrics to measure the adoption and effectiveness of AI tools in the classroom. Analyze this data to report on pedagogical impact and continuously refine the academic AI strategy. Any and all other duties as assigned.","Strong understanding of core AI concepts (e.g., machine learning, large language models, natural language processing) and their practical applications in education. Hands-on proficiency with a range of AI tools and platforms relevant to pedagogy and research. Familiarity with Learning Management Systems (LMS), such as Moodle, and their integration with third-party educational technologies. Ability to synthesize outcomes from AI projects and pilots to assess effectiveness and inform strategy. Proven ability to architect, develop, and deliver effective training programs, workshops, and learning resources (videos, tutorials, guides) for a diverse faculty audience. Strong instructional design skills with an understanding of how to effectively integrate technology into curriculum to enhance learning. Comprehensive knowledge of AI ethics, data privacy, security, and compliance considerations within an academic context. Excellent communication and presentation skills, with the ability to explain complex technical concepts to non-expert audiences. Demonstrated ability to build collaborative relationships and foster a community of practice among faculty and academic staff. Proven skill in facilitating productive discussions and workshops that drive technology integration and innovation. Comfort working with autonomy on a range of evolving projects within a structure that emphasizes shared learning, transparency, and support. Strong problem-solving, analytical, and change management skills, with the ability to support and guide faculty through technological transitions.","Education: bachelor's  degree in Education, Instructional Design Technology, Education Technology, or a closely related field. Experience: Minimum of 1 year of demonstrated experience in a role involving educational technology, instructional design, or the application of emerging technologies within an academic or professional training environment. Preferred:   master's's's degree in a relevant field. Direct experience working in a higher education environment, supporting faculty and academic programs. Experience in the formal development and implementation of institutional policies related to technology and academic integrity. Experience conducting or supporting formal research projects. Experience with implementation of transformative educational technology.","$70,000 to $75,000","olmo","0.0","","","","","","","False","0.0",""
"2","First Citizens Bank","AI Community of Practice Leader","This leader will drive AI fluency and engagement across the company. This includes creating AI awareness, producing internal and external communications about the firm  AI activities, developing an enterprise-wide AI learning curriculum and education program, and developing a dynamic AI Community of Practice to drive engagement, connection, and culture. This leader will partner with HR Learning and Development, Corporate Communications, Business Lines, and others to deliver jointly on these goals.","Develop and execute a comprehensive AI fluency and engagement strategy to enhance understanding and adoption of AI across the enterprise. Partner with HR Learning & Development to design and implement an AI learning curriculum that builds foundational, role-based, and advanced AI capabilities. Lead creation of AI awareness and education campaigns, including events, workshops, and digital learning experiences that inspire participation and confidence in AI. Establish and grow an AI Community of Practice that connects practitioners, champions, and business users to share insights, best practices, and success stories. Collaborate with Corporate Communications to produce engaging internal and external communications that highlight the firm  AI initiatives and impact. Partner with business lines and functional leaders to integrate AI fluency goals into transformation, innovation, and talent development programs. Define and track KPIs and engagement metrics to measure cultural adoption, learning effectiveness, and overall progress toward enterprise AI fluency.","","bachelor's's Degree and 8 years of experience in Artificial Intelligence including GenAI and ML. Advanced Analytics, Data Management, Data Analytics, AI Risk Management OR High School Diploma or GED and 12 years of experience in Artificial Intelligence including GenAI and ML. Advanced Analytics, Data Management, Data Analytics, AI Risk. Preferred Area of Study: AI Data Science, Business Analytics, Computer Science, or related field Preferred Area of Experience: Financial Services Industry","Benefits are an integral part of total rewards and First Citizens Bank is committed to providing a competitive, thoughtfully designed and quality benefits program to meet the needs of our associates.","olmo","0.0","","","","","","","False","0.0",""
"3","University of South Carolina","AI Educator","Spend your days enjoying one of the most beautiful university campuses in America at the University of South Carolina, located in the vibrant capital city of one of the nation  fastest-growing states. Join us in revolutionizing the Division of Information Technology as we transform our campus into a cutting-edge technological marvel! As a Gamecock, you will be part of a dynamic, fast-paced, and talented team, while making a significant impact on the technology that powers our university and creates a #1 ranked first-year experience for our students. Enjoy an urban setting while showcasing your expertise and contributing to the next chapter of our university  remarkable story.","Design and deliver hands-on training sessions and workshops on AI tools such as ChatGPT, Microsoft Copilot, etc. Create user-friendly guides, tutorials, and documentation to help non-technical users understand how to apply AI in their roles. Consult with departments to identify opportunities where AI can streamline data workflows or enhance reporting capabilities. Lead pilot projects that demonstrate the value of AI in transforming raw data into actionable insights. Stay current with emerging AI technologies and evaluate their potential for university-wide adoption.","AI and Prompt Engineering Knowledge – Understanding of AI fundamentals, prompt engineering, and AI agent development. Curriculum Design & Teaching – Experience creating and delivering instructional content, workshops, and hands-on learning. Technical Proficiency – Skill in using AI tools (e.g., ChatGPT) and platforms for text, image, and data generation. Communication & Collaboration – Strong interpersonal skills with the ability to communicate complex topics clearly and work effectively with diverse campus stakeholders. Customer Service Orientation – Demonstrated commitment to user support, responsiveness, and improving the learner experience. Ethical AI & Critical Thinking – Awareness of AI ethics, bias, and limitations; ability to integrate these concepts into teaching. Administrative & Organizational Skills – Ability to manage training logistics, track outcomes, and maintain accurate program records.","Requires a bachelor's  degree in a job-related field and 4 or more years of job-related experience, which may be substituted by an equivalent combination of job-related certification, training, education, and/or experience. Preferred:   master's's  degree in educational technology, Computer Science, Data Science, Artificial Intelligence, Instructional Design, or a related field. A strong foundation in both AI/Machine Learning and education/pedagogy is essential.","$72,093 - $90,000","olmo","0.0","","","","","","","False","0.0",""
"4","University of South Carolina","AI Educator","Spend your days enjoying one of the most beautiful university campuses in America at the University of South Carolina, located in the vibrant capital city of one of the nation  fastest-growing states. Join us in revolutionizing the Division of Information Technology as we transform our campus into a cutting-edge technological marvel! As a Gamecock, you will be part of a dynamic, fast-paced, and talented team, while making a significant impact on the technology that powers our university and creates a #1 ranked first-year experience for our students. Enjoy an urban setting while showcasing your expertise and contributing to the next chapter of our university  remarkable story.","Design and deliver hands-on training sessions and workshops on AI tools such as ChatGPT, Microsoft Copilot, etc. Create user-friendly guides, tutorials, and documentation to help non-technical users understand how to apply AI in their roles. Consult with departments to identify opportunities where AI can streamline data workflows or enhance reporting capabilities. Lead pilot projects that demonstrate the value of AI in transforming raw data into actionable insights. Stay current with emerging AI technologies and evaluate their potential for university-wide adoption.","AI and Prompt Engineering Knowledge – Understanding of AI fundamentals, prompt engineering, and AI agent development. Curriculum Design & Teaching – Experience creating and delivering instructional content, workshops, and hands-on learning. Technical Proficiency – Skill in using AI tools (e.g., ChatGPT) and platforms for text, image, and data generation. Communication & Collaboration – Strong interpersonal skills with the ability to communicate complex topics clearly and work effectively with diverse campus stakeholders. Customer Service Orientation – Demonstrated commitment to user support, responsiveness, and improving the learner experience. Ethical AI & Critical Thinking – Awareness of AI ethics, bias, and limitations; ability to integrate these concepts into teaching. Administrative & Organizational Skills – Ability to manage training logistics, track outcomes, and maintain accurate program records.","Requires a bachelor's  degree in a job-related field and 4 or more years of job-related experience, which may be substituted by an equivalent combination of job-related certification, training, education, and/or experience. Preferred:   master's's  degree in educational technology, Computer Science, Data Science, Artificial Intelligence, Instructional Design, or a related field. A strong foundation in both AI/Machine Learning and education/pedagogy is essential.","$72,093 - $90,000","olmo","0.0","","","","","","","False","0.0",""
"5","Advanced Micro Devices, Inc. (AMD)","AI Engineer for AI Education","At AMD, our mission is to build great products that accelerate next-generation computing experiences—from AI and data centers, to PCs, gaming and embedded systems. Grounded in a culture of innovation and collaboration, we believe real progress comes from bold ideas, human ingenuity and a shared passion to create something extraordinary. When you join AMD, you discover the real differentiator is our culture. We push the limits of innovation to solve the world  most important challenges—striving for execution excellence, while being direct, humble, collaborative, and inclusive of diverse perspectives. Join us as we shape the future of AI and beyond. Welcome to the Llama team—where curiosity runs wild, and innovation is our natural habitat. We’re a tight-knit group of passionate builders, educators, and AI explorers at AMD, united by a shared mission: to push the boundaries of what  possible with generative AI and make cutting-edge knowledge accessible to developers everywhere.","Research, prototype, and implement cutting-edge techniques in generative AI, e.g. speculative decoding, reasoning post-training, the latest RL methods, etc. Translate advanced AI concepts into clear, engaging educational content, including course modules, technical explainers, and keynote-style presentations. Collaborate with AI engineers, researchers, and educators to ensure technical accuracy and pedagogical clarity. Track record of designing visually compelling, shareable content with a strong sense of storytelling to maximize reach and impact. Stay current with the latest research in LLMs, decoding strategies, and model efficiency, and contribute to internal knowledge sharing.","Python, deep learning frameworks such as PyTorch or TensorFlow, LLMs/transformer architectures, strong visual and UX sensibility, ability to simplify and communicate complex technical concepts through engaging content or presentations","Advanced degree (MS or PhD preferred but not required) in Computer Science, Machine Learning, Applied Mathematics, or a related field","$163,360.00 - $245,040.00 per year","olmo","0.0","","","","","","","False","0.0",""
"6","AI Programs Consultant1","AI Programs Consultant - K-12 Specialist","Sustainable Living Lab (SL2) is part of a global movement to make technology inclusive, accessible, and sustainable. We design and deliver innovative education programs that equip learners with essential digital and AI skills - from US community colleges to grassroots organizations worldwide. We're seeking a dynamic, articulate, and adaptable AI Programs Manager / Consultant to support the global expansion and US localization of our AI education programs. We are seeking a dynamic, articulation-savvy, and experienced K-12 education professional to lead the implementation of our AI programs within school districts across the US. This role focuses heavily on outreach, consultation, and delivery, ideal for a former teacher, administrator, or district specialist with a growth mindset who can navigate the complexities of K-12 systems and drive large-scale technological adoption.","K-12 AI Readiness & District Engagement: Drive AI adoption across school districts in various states, serving as a key partner to our clients. Consult with district leadership, administrators, and teachers to understand needs and incorporate AI into their ecosystem. Lead comprehensive AI readiness initiatives, covering infrastructure, specialized labs, K-12 curriculum integration, teacher professional development (TPD), and AI policy recommendations. Manage and scale educational programs focused on youth, including out-of-school programs and bootcamps. Support outreach to educational non-profits and community organizations to expand K-12 engagement. Teacher Training and TTT Delivery: Lead in-person and virtual Train-the-Trainer (TTT) workshops for K-12 teachers and administrators across different states. Ensure educators are fully equipped to incorporate our AI programs and provide continuous support for their implementation. Deliver engaging, beginner-friendly training that translates core AI/Python concepts into practical classroom activities. Facilitate experiential coding/skilling events and co-deliver programming to generate AI projects as student outcomes. Program Customization and Content Support: Collaborate with internal teams to evolve existing content and co-create new offerings that align with K-12 frameworks and standards. Provide essential feedback and insights from school districts to inform program improvement and localization. Assist in the creation of consulting decks, training decks, and program collateral tailored specifically for K-12 stakeholders.","Intermediate knowledge of Python and foundational AI/ML concepts. Strong interest in emerging educational technology and AI policy. Strong public speaking skills and proven ability to run dynamic TTT sessions and classroom/workshop environments. Adaptable, self-motivated, and collaborative. Skilled in using tools like Zoom, Google Workspace, and Teams, and eager to learn new platforms and facilitation techniques.","Experience: Minimum of 2 years of direct teaching experience in K-12 education. Prior experience in school administration or at the school district level (e.g., curriculum coordinator, TPD lead) is strongly preferred. K-12 Stakeholder Expertise: Demonstrated ability to effectively communicate with and influence diverse K-12 stakeholders, including teachers, school administrators, and district leaders. Tech & Learning Aptitude: Strong interest in emerging educational technology and AI policy. Training & Facilitation: Strong public speaking skills and proven ability to run dynamic TTT sessions and classroom/workshop environments. Mindset & Toolsets: Adaptable, self-motivated, and collaborative. Skilled in using tools like Zoom, Google Workspace, and Teams, and eager to learn new platforms and facilitation techniques.","$55,000.00/yr - $75,000.00/yr","olmo","0.0","","","","","","","False","0.0",""
"7","Belmont University","AI Solutions Architect","The AI Solutions Architect focuses on leveraging emerging AI techniques to analyze data, generate insights, and improve decision-making processes in collaborative projects, developing tools and training for faculty to apply these capabilities in their teaching and research, and providing specialized expertise to adapt rapidly evolving AI tools effectively to ensure solutions can be competitive and relevant.","Enhance Data-Driven Decision-Making: Develop and integrate AI-powered analytics tools to inform decision-making and drive effectiveness. Support Innovative Research: Provide AI expertise and resources for faculty and student research projects, fostering innovation and collaboration. Promote AI Education: Develop and deliver training programs to educate faculty, staff, and students on AI concepts, tools, and applications. Foster Collaboration: Facilitate interdisciplinary collaboration among faculty, staff, and students working on AI-related projects. Enable Intentional Use of AI: Support university discourse on employing artificial intelligence in a way that prepares students for an AI future, including consequences of bias, implications to privacy, etc.","Ability to identify issues, obtain relevant information, relate and compare data from different sources, and identify alternative solutions. Interprets and seeks information, uses independent reasoning to diagnose the root cause of situations or issues, identifies and tests solutions and thinks beyond what is typical or customary. Uses information to determine benefits and impact in making decision and/or recommendations. Ability to coordinate and administer programs/project activities and protocols. Ability to manage resources, monitor activities, and assess risks and quality issues associated with the program/project. Ability to present information to individuals or groups; ability to deliver presentations suited to the characteristics and needs of the audience. Ability to convey information clearly and concisely to groups or individuals either verbally or in writing to ensure that they understand the information and the message. Ability to listen and respond appropriately to others. Ability to impact and influence others to further the institution  strategic objectives. Ability to use Microsoft Office (Excel, PowerPoint, Word) and basic databases and software. Experience working in a fast-paced environment and the ability to respond to high-pressure situations. Ability to thrive in an environment of hard work. Ability to work effectively with a wide range of constituencies in a diverse community.","Required: bachelor's's's degree in Computer Science or related field.  master's's degree is preferred. Required 1-3 years experience in AI Development. Experience working in a fast-paced environment and the ability to respond to high-pressure situations.","","olmo","0.0","","","","","","","False","0.0",""
"8","HCA Healthcare","AI Training and Enablement Lead","At Galen College of Nursing, we educate and empower nurses to change lives. Since 1989, we’ve dedicated our work to delivering high-quality nursing education with a student-first mindset. As one of the largest private nursing colleges in the country, we combine the support of a close-knit learning environment with the strength of a nationally recognized institution, HCA Healthcare. That same passion for excellence in the classroom extends to our offices. At Galen, you’ll find a culture deeply rooted in collaboration, innovation, and a shared commitment to improving the future of healthcare. Your work directly touches the next generation of nurses, and your contributions help our students pursue their dream of a compassionate career.","Design, develop, and deliver AI-focused learning programs tailored to Galen  faculty, staff, and leadership audiences. Build and maintain a library of AI training content, including courses, microlearning modules, video tutorials, and job aids. Create role-based learning paths (e.g., faculty, student services, leadership) to build AI fluency at all levels of the organization. Facilitate engaging in-person and virtual workshops on AI literacy, tools, and use cases. Partner with subject matter experts to ensure content accuracy, alignment with institutional policies, and relevance to day-to-day work. Continuously update training materials based on feedback, tool updates, and emerging AI best practices. Apply instructional design principles to create high-quality, learner-centered content for multiple modalities (eLearning, blended, live sessions). Develop assessments, knowledge checks, and learning evaluations to measure engagement and comprehension. Use learning data and feedback to refine content and improve learner outcomes. Incorporate adult learning theory, accessibility standards, and responsible AI principles into all materials. Partner with IT to understand new AI tools, systems, and features, and translate them into user-friendly training and documentation. Work closely with academic and operational leaders to identify skill gaps and training needs related to AI adoption. Serve as a liaison between technical teams and end users, helping to bridge understanding between system design and application. Provide consultative support to teams implementing AI tools — ensuring staff readiness, comfort, and confidence. Support organization-wide change management efforts tied to AI adoption through education and communication. Promote awareness and understanding of AI capabilities and responsible use across all departments. Develop communication materials (FAQs, quick-start guides, newsletters) to reinforce learning and sustain engagement.","bachelor's's  degree in Education, Instructional Design, Learning Technology, or related field. 3+ years of experience in instructional design, training, or learning program development. Working knowledge of AI and emerging technology concepts, with ability to explain them to non-technical audiences. Experience designing eLearning and blended programs using modern authoring tools (Articulate, Captivate, Rise, etc.). Strong facilitation skills and ability to engage diverse learners both in-person and virtually. Excellent written and verbal communication skills. Ability to manage multiple projects and collaborate across teams.","Required: bachelor's  degree in Education, Instructional Design, Learning Technology, or related field. 3+ years of experience in instructional design, training, or learning program development. Working knowledge of AI and emerging technology concepts, with ability to explain them to non-technical audiences. Preferred:  master's  degree in Education, Learning Technology, or related discipline. Experience in higher education or healthcare learning environments. Familiarity with AI tools used in education, productivity, or data analysis (e.g., Microsoft Copilot, ChatGPT, Claude, Google PLS). Experience with learning management systems (e.g., Canvas, Workday Learning, Cornerstone).","Not specified","olmo","0.0","","","","","","","False","0.0",""
"9","Amazon","AI Tutor","Amazon is seeking an AI Tutor who has strong language skills, is exceptionally detail-oriented, and has a track record of exhibiting high judgment in ambiguous environments. This is an opportunity to join the high-performing team behind Amazon  generative AI-powered shopping assistant. Rufus makes it easy for customers to find and discover the best products to meet their unique needs by helping with product research, providing comparisons and recommendations, answering specific product questions, and more. This role will bring innovation and cohesion to our efforts to deliver a seamless and delightful AI-assisted shopping experience to customers worldwide. We are looking for candidates who are passionate about the intersection of language and technology and are keen to support the training of Large Language Models. This role will be responsible for conducting high-judgment evaluations and labeling data in order to improve the fluency of our Shopping AI model. They will uphold our high standards for style and tone, while using customer feedback to continually iterate and improve the shopping experience. This role requires exceptional written and oral communication skills, excellent judgment, strong interpersonal skills, deep curiosity about how things work, and a passion for serving customers. You must enjoy context-switching and multi-tasking while upholding our high standards. This is an opportunity to gain valuable experience in the growing field of artificial intelligence and its application in diverse business settings.","Deliver high-quality labelled data, using guidelines provided to meet our KPIs and using in-house tools and software, as part of Amazon's commitment to developing and deploying AI responsibly. Demonstrate proficiency in generating high-quality human insight data across a range of modalities, inclusive of text, image, video, and audio. Make sound judgments and logical decisions when faced with ambiguous or incomplete information while performing tasks. Pivot from one category of requirement to another instantaneously, maintaining a keen eye for detail and a high bar for quality. Analyze root causes, identify error patterns, and propose solutions to enhance the quality of labeling tasks and their outputs. Responsible for identifying day-to-day process and operational issues in Standard Operating Procedures and related tooling, suggesting changes to unblock the team.","Strong language skills, Exceptional written and oral communication skills, Excellent judgment, Strong interpersonal skills, Deep curiosity about how things work, Passion for serving customers","BASIC QUALIFICATIONS: bachelor's  Degree in English, Linguistics, Journalism, or comparable fields. Strong attention to detail and commitment to quality. Previous experience using annotation strategies to contribute to the development and improvement of AI model. PREFERRED QUALIFICATIONS: 2+ years of writing and/or editing experience. Experience working cross-functionally to drive product improvements. Ability to adapt to fast-paced environments with changing circumstances, direction, and strategy.","$40,400 - $86,500 per year","olmo","0.0","","","","","","","False","0.0",""
"10","Apple","Machine Learning Educator","Apple is where individual imaginations gather together, committing to the values that lead to great work. Every new product we build, service we create, or Apple Store experience we deliver is the result of us making each other's ideas stronger. That happens because every one of us shares a belief that we can make something wonderful and share it with the world, changing lives for the better. It's the diversity of our people and their thinking that inspires the innovation that runs through everything we do. When we bring everybody in, we can do the best work of our lives. Here, you'll do more than join something — you'll add something. AIML University designs and delivers machine learning focused training and development opportunities for employees across Apple. We're seeking a Machine Learning Educator to lead internal training, enablement, and technical onboarding. This role is focused on equipping our product-focused engineers with the ML knowledge needed to develop high-quality machine learning features that improve our customer's lives. This is a high-impact, cross-functional role that combines technical depth, instructional design, course facilitation, and strategic thinking. You'll influence the internal learning roadmap and how ML knowledge is scaled across Apple.","Own the design and delivery of internal-facing ML technical learning curriculums that incorporate a variety of learning formats including, self-paced resources, virtual instructor-led courses, seminars, case studies, and more - Partner with engineers and engineering managers to uncover, align on, and predict technical learning and development needs for areas like architecture, tools, standard processes, and skill advancement - Manage your Own projects with a high degree of independence, from scoping and planning to execution and iteration - Demonstrate success of learning initiatives through defined metrics, measurement strategies, and reporting - Develop and implement internal training strategies that align learning initiatives with business goals and values - Develop deep intuition for business needs and build value through training that advances engineering priorities","Minimum 5+ years of professional experience blending advanced technical expertise in machine learning models, frameworks, and Python with engineering focused training and curriculum design. Strong instructional design and delivery skills—you know how to turn intricate ML concepts into clear, engaging educational content tailored specifically for an engineering audience. Proven track record in creating and delivering sophisticated machine learning training programs for engineers across varying proficiency levels. Skilled at thriving in dynamic environments, comfortable navigating ambiguity and managing shifting priorities.","bachelor's's Degree in Computer Science/Software Engineering or a related field, or 6+ equivalent industry experience. Preferred: Ability to develop training strategies, articulate their value, and expertly present them to leadership and partners to gain alignment and action. Proven track record working individually and in teams, delivering under tight timelines, and successfully balancing multiple tasks. Experience with engineering on Apple platforms.","$143,100 - $264,200 per year","olmo","0.0","","","","","","","False","0.0",""
